horizon,endpoint,comparison,slice_type,slice,n,absolute_gain
30,log_future_sigma,A_vs_C,previous_state,NORMAL,20863,0.004839622355751512
30,log_future_sigma,A_vs_C,previous_state,RECOVERING,2275,0.0026627133416666647
30,log_future_sigma,A_vs_C,previous_state,UNSAFE,996,0.006029401333201693
30,log_future_sigma,A_vs_C,year,2024,11447,0.005238149323527771
30,log_future_sigma,A_vs_C,year,2025,12687,0.004183093125386769
30,log_future_sigma,A_vs_C,symbol,000688.SH,11079,0.005217531569615916
30,log_future_sigma,A_vs_C,symbol,000852.SH,13055,0.004230330565180359
30,log_future_sigma,A_vs_C,slot,585,445,0.010537238383884174
30,log_future_sigma,A_vs_C,slot,590,501,0.006103065963907164
30,log_future_sigma,A_vs_C,slot,595,517,0.008240328586082044
30,log_future_sigma,A_vs_C,slot,600,581,0.002961112206446458
30,log_future_sigma,A_vs_C,slot,605,576,0.0009478421088873271
30,log_future_sigma,A_vs_C,slot,610,670,0.0014834762915958242
30,log_future_sigma,A_vs_C,slot,615,671,0.0040086728366356215
30,log_future_sigma,A_vs_C,slot,620,735,0.004936033617781317
30,log_future_sigma,A_vs_C,slot,625,753,0.0006123166263728759
30,log_future_sigma,A_vs_C,slot,630,780,0.0032733412224019653
30,log_future_sigma,A_vs_C,slot,635,734,0.003060492829518731
30,log_future_sigma,A_vs_C,slot,640,779,0.002354561128911254
30,log_future_sigma,A_vs_C,slot,645,787,0.0067302954636662025
30,log_future_sigma,A_vs_C,slot,650,776,0.005997116419042212
30,log_future_sigma,A_vs_C,slot,655,793,0.004951098524237026
30,log_future_sigma,A_vs_C,slot,660,822,0.008566614761615944
30,log_future_sigma,A_vs_C,slot,795,812,0.00527068807333422
30,log_future_sigma,A_vs_C,slot,800,824,0.006072692245368033
30,log_future_sigma,A_vs_C,slot,805,844,0.004260891787436469
30,log_future_sigma,A_vs_C,slot,810,851,0.003934903681752658
30,log_future_sigma,A_vs_C,slot,815,801,0.0020533683965926306
30,log_future_sigma,A_vs_C,slot,820,828,0.004752984131043941
30,log_future_sigma,A_vs_C,slot,825,819,4.670785447824226e-05
30,log_future_sigma,A_vs_C,slot,830,820,0.0017402621305345524
30,log_future_sigma,A_vs_C,slot,835,815,0.0031462855424767935
30,log_future_sigma,A_vs_C,slot,840,842,0.005007797270809354
30,log_future_sigma,A_vs_C,slot,845,754,0.005187624081827159
30,log_future_sigma,A_vs_C,slot,850,808,0.0038159439775561615
