year,block,gain,n
2024,0,1.895703000419122,1400
2024,1,-0.31699993005576527,1400
2024,2,-0.37167319148199873,1400
2024,3,0.81060724354978997,1400
2024,4,0.18243951215544604,1400
2024,5,0.34200966926699261,1400
2024,6,-0.08933149832101081,1400
2024,7,-0.4521268662341954,1400
2024,8,-0.20711983843861706,1400
2024,9,0.24813419644504406,1400
2024,10,0.50731992524688929,1400
2024,11,-0.44394674645624582,1400
2024,12,-0.20872053176832381,140
2025,0,0.53218952731802482,1400
2025,1,-0.08488144790143419,1400
2025,2,-0.76181364433183207,1400
2025,3,0.25341705848925489,1400
2025,4,0.1320545604479243,1400
2025,5,0.91212429238841142,1400
2025,6,-0.0026365171753167972,1400
2025,7,0.93351053907571979,1400
2025,8,0.94590165462266429,1400
2025,9,-1.0148861900063928,1400
2025,10,-0.34847005778644491,1400
2025,11,-0.10239671861588941,1400
2025,12,-0.065282871106825818,210
