horizon,endpoint,comparison,n,development_n,positive_events,baseline_loss,cross_current_loss,absolute_gain,relative_gain,development_forward_gain,supported
15,log_future_sigma,X_vs_C,39770,59614,,0.30320729549817643,0.3031406473242988,6.664817387762516e-05,0.00021981058789538921,0.0001427464658371938,False
15,log_future_sigma,X_vs_L,39770,59614,,0.3031414845063806,0.3031406473242988,8.371820818195652e-07,2.7616876099382694e-06,0.0001288500384060892,False
15,future_tail,X_vs_C,39770,59614,1296.0,0.029798187640714086,0.02979790666534747,2.8097536662318526e-07,9.42927704231518e-06,7.0700863795352e-06,False
15,future_tail,X_vs_L,39770,59614,1296.0,0.029788496998891478,0.02979790666534747,-9.409666455995325e-06,-0.0003158825521255902,2.9891426200786674e-05,False
30,log_future_sigma,X_vs_C,33950,50890,,0.17007282896163806,0.1699778326397015,9.499632193652407e-05,0.0005585626023657878,0.00024386762453160063,False
30,log_future_sigma,X_vs_L,33950,50890,,0.17008496714662713,0.1699778326397015,0.00010713450692565398,0.0006298881595649502,3.1335039129691936e-05,False
30,future_tail,X_vs_C,33950,50890,1886.0,0.049006196174779616,0.04896845550803918,3.77406667404346e-05,0.0007701203049066136,-2.5355982287706297e-05,False
30,future_tail,X_vs_L,33950,50890,1886.0,0.048976002202172374,0.04896845550803918,7.546694133191045e-06,0.00015408963153093586,2.7499294065693625e-05,False
60,log_future_sigma,X_vs_C,22310,33442,,0.1191115173068284,0.11899065462268762,0.00012086268414077614,0.0010147019102228105,0.00027110125129576197,False
60,log_future_sigma,X_vs_L,22310,33442,,0.11902670485590153,0.11899065462268762,3.6050233213930815e-05,0.00030287516786736777,0.00011041449771120076,False
60,future_tail,X_vs_C,22310,33442,2215.0,0.08407865455711,0.08395928411751326,0.0001193704395967601,0.0014197472619602676,-2.050721915016584e-05,False
60,future_tail,X_vs_L,22310,33442,2215.0,0.08396175689260822,0.08395928411751326,2.472775094964576e-06,2.945120715050536e-05,5.5322150764909044e-05,False
