horizon,endpoint,comparison,slice_type,slice,n,absolute_gain
60,log_future_sigma,X_vs_C,symbol,000688.SH,11155,-0.0003764294420109576
60,log_future_sigma,X_vs_C,symbol,000852.SH,11155,0.0006181548102925097
60,log_future_sigma,X_vs_C,year,2024,11132,0.00018347710018290806
60,log_future_sigma,X_vs_C,year,2025,11178,5.850594059264477e-05
60,log_future_sigma,X_vs_C,previous_state,NORMAL,19185,0.00021570491778841321
60,log_future_sigma,X_vs_C,previous_state,RECOVERING,2037,-0.00018558383321179322
60,log_future_sigma,X_vs_C,previous_state,UNSAFE,1088,-0.0009777739856043832
60,log_future_sigma,X_vs_C,slot,580,970,0.00032991722802007943
60,log_future_sigma,X_vs_C,slot,585,970,-0.0003122199357175713
60,log_future_sigma,X_vs_C,slot,590,970,-0.00038791087751712954
60,log_future_sigma,X_vs_C,slot,595,970,-0.0005220560040447507
60,log_future_sigma,X_vs_C,slot,600,970,-0.00016496219263847526
60,log_future_sigma,X_vs_C,slot,605,970,-0.00027446970567147975
60,log_future_sigma,X_vs_C,slot,610,970,0.00021239400166408686
60,log_future_sigma,X_vs_C,slot,615,970,0.00020310482922685804
60,log_future_sigma,X_vs_C,slot,620,970,-8.434765726678972e-05
60,log_future_sigma,X_vs_C,slot,625,970,0.00019742439561955242
60,log_future_sigma,X_vs_C,slot,630,970,-0.00036468428479884807
60,log_future_sigma,X_vs_C,slot,785,970,-0.0002796449755581945
60,log_future_sigma,X_vs_C,slot,790,970,0.0002787949256189113
60,log_future_sigma,X_vs_C,slot,795,970,0.00035289958073066115
60,log_future_sigma,X_vs_C,slot,800,970,0.0004642394857204219
60,log_future_sigma,X_vs_C,slot,805,970,-1.9247207543773217e-05
60,log_future_sigma,X_vs_C,slot,810,970,1.3053286824804784e-05
60,log_future_sigma,X_vs_C,slot,815,970,0.000546464302221819
60,log_future_sigma,X_vs_C,slot,820,970,0.00047884524503728976
60,log_future_sigma,X_vs_C,slot,825,970,0.0002740898382776186
60,log_future_sigma,X_vs_C,slot,830,970,0.0005685881122970953
60,log_future_sigma,X_vs_C,slot,835,970,0.0004990472071093665
60,log_future_sigma,X_vs_C,slot,840,970,0.0007705221376262977
60,log_future_sigma,X_vs_L,symbol,000688.SH,11155,-0.00014593578897820021
60,log_future_sigma,X_vs_L,symbol,000852.SH,11155,0.00021803625540606184
60,log_future_sigma,X_vs_L,year,2024,11132,2.5569859685005927e-05
60,log_future_sigma,X_vs_L,year,2025,11178,4.648747763368319e-05
60,log_future_sigma,X_vs_L,previous_state,NORMAL,19185,7.720871624297457e-05
60,log_future_sigma,X_vs_L,previous_state,RECOVERING,2037,-0.00029577663661749536
60,log_future_sigma,X_vs_L,previous_state,UNSAFE,1088,-6.844807842723523e-05
60,log_future_sigma,X_vs_L,slot,580,970,0.001063503172504138
60,log_future_sigma,X_vs_L,slot,585,970,-0.00047512354840242746
60,log_future_sigma,X_vs_L,slot,590,970,-0.00025533749336444284
60,log_future_sigma,X_vs_L,slot,595,970,-0.000422387877399404
60,log_future_sigma,X_vs_L,slot,600,970,0.0003217786451178541
60,log_future_sigma,X_vs_L,slot,605,970,-0.00033399522894178037
60,log_future_sigma,X_vs_L,slot,610,970,0.000299688780645412
60,log_future_sigma,X_vs_L,slot,615,970,0.00013912041610346655
60,log_future_sigma,X_vs_L,slot,620,970,-0.00044149520592303706
