horizon,endpoint,comparison,n,development_n,positive_events,baseline_loss,residual_loss,absolute_gain,relative_gain,development_forward_gain,supported
15,log_future_sigma,R_vs_B,39770,59614,,0.3031406473242987,0.3027864045691622,0.0003542427551364082,0.0011685755713170352,0.0007666176186123377,False
15,log_future_sigma,R_vs_Q,39770,59614,,0.30275086556965275,0.3027864045691622,-3.55389995094958e-05,-0.00011738694600468276,0.0004461571560482425,False
15,future_tail,R_vs_B,39770,59614,1296.0,0.02979790666534747,0.02972767444211953,7.023222322793607e-05,0.002356951581085741,8.281486874074748e-05,False
15,future_tail,R_vs_Q,39770,59614,1296.0,0.029753175918601316,0.02972767444211953,2.5501476481783214e-05,0.0008571009881953478,5.443704107053464e-05,False
30,log_future_sigma,R_vs_B,33950,50890,,0.1699778326397015,0.16962505902110453,0.00035277361859693395,0.0020754095585199094,0.0004111960718462665,False
30,log_future_sigma,R_vs_Q,33950,50890,,0.16970020885661202,0.16962505902110453,7.514983550745999e-05,0.0004428387920898657,0.0003364090450660954,False
30,future_tail,R_vs_B,33950,50890,1886.0,0.04896845550803918,0.048880864552757225,8.75909552819608e-05,0.001788722032851964,0.0001253016043418409,False
30,future_tail,R_vs_Q,33950,50890,1886.0,0.04891734016004843,0.048880864552757225,3.647560729120561e-05,0.0007456580258015709,9.062061579119092e-05,False
60,log_future_sigma,R_vs_B,22310,33442,,0.11899065462268762,0.11875316223967447,0.00023749238301313042,0.0019958910535134446,0.0002701235703231104,False
60,log_future_sigma,R_vs_Q,22310,33442,,0.11879765107350318,0.11875316223967447,4.448883382870959e-05,0.00037449253774540705,0.0002320637166785682,False
60,future_tail,R_vs_B,22310,33442,2215.0,0.08395928411751326,0.08377367611697915,0.00018560800053409512,0.0022106906042017897,0.00020173713946310107,False
60,future_tail,R_vs_Q,22310,33442,2215.0,0.08383988087662028,0.08377367611697915,6.62047596411298e-05,0.0007896571291478512,0.00012936835161906374,False
