,RZ48,QZ48,beta,symbol,year,previous_state
count,22310.0,22310.0,22310.0,22310,22310.0,22310
unique,,,,2,,3
top,,,,000688.SH,,NORMAL
freq,,,,11155,,19185
mean,0.9287612279038842,0.8931328645493666,0.8466129066935092,,2024.501030927835,
std,0.9122805711392162,0.8714629952908645,0.32516645988526194,,0.5000101432769065,
min,0.0001695765202998275,0.00027820827183380677,0.09552799286200063,,2024.0,
25%,0.31093335121487803,0.3002910087344367,0.635994995925794,,2024.0,
50%,0.6775572829719116,0.6490424703168468,0.8055128084553719,,2025.0,
75%,1.2454856949037545,1.1990639695159615,0.9889340672114935,,2025.0,
max,16.448916835115686,11.604225230756668,2.7402802449613026,,2025.0,
