year,block,gain,n
2024,0,0.013807465356857609,1400
2024,1,-0.090905569421611945,1400
2024,2,0.083900705153787919,1400
2024,3,-0.022925879833217994,1400
2024,4,0.0080390190079377595,1400
2024,5,0.089014434822827129,1400
2024,6,0.11108914663607473,1400
2024,7,-0.041614629490208027,1400
2024,8,0.092814049687675093,1400
2024,9,-0.046383966128572887,1400
2024,10,-0.10396198255572058,1400
2024,11,-0.043655059005371824,1400
2024,12,0.021163110058409148,140
2025,0,-0.12829338036299229,1400
2025,1,0.015699826295123967,1400
2025,2,0.056489234384914454,1400
2025,3,0.16887913580130781,1400
2025,4,0.16242717171528903,1400
2025,5,0.11017270819105725,1400
2025,6,0.033453513617218628,1400
2025,7,0.048955436930512714,1400
2025,8,0.06424537581855233,1400
2025,9,0.026550387107477588,1400
2025,10,0.066876357586506535,1400
2025,11,-0.011658647841976918,1400
2025,12,-0.032080801116620927,210
