year,block,gain,n
2024,0,0.71042737863173477,1400
2024,1,0.47315823887357689,1400
2024,2,0.11065407063507043,1400
2024,3,0.85976401282415893,1400
2024,4,0.76597713104572418,1400
2024,5,0.67224127984250015,1400
2024,6,0.57818657513070171,1400
2024,7,1.2080028561724501,1400
2024,8,-0.13317938521946779,1400
2024,9,0.43697211279554332,1400
2024,10,-0.050596423214594878,1400
2024,11,-1.0309215233078224,1400
2024,12,-0.078159093538070004,140
2025,0,0.64909337224144825,1400
2025,1,0.037868206492435372,1400
2025,2,0.41583356564736645,1400
2025,3,1.0563796123959535,1400
2025,4,0.30735229361318428,1400
2025,5,-0.45144359368290432,1400
2025,6,0.97265961444713278,1400
2025,7,-0.38151425706865716,1400
2025,8,0.78477708833411253,1400
2025,9,0.82492656083865235,1400
2025,10,0.23797873385775462,1400
2025,11,-0.18222598831072173,1400
2025,12,-0.15803616811702098,210
