year,block,gain,n
2024,0,-0.09942328096027625,920
2024,1,-0.46845141606000446,920
2024,2,0.11789237141508674,920
2024,3,0.384625690978813,920
2024,4,0.13199190095017202,920
2024,5,0.47244576719054232,920
2024,6,0.1962794339428206,920
2024,7,-0.071905940825925968,920
2024,8,0.42762348116591553,920
2024,9,0.59403064171927999,920
2024,10,-0.72814626593044329,920
2024,11,-0.6295672673001601,920
2024,12,-0.062349210155143685,92
2025,0,0.016887881041879264,920
2025,1,-0.48881314355982586,920
2025,2,-0.025281254660248408,920
2025,3,0.42996712758191752,920
2025,4,-0.30569275149936809,920
2025,5,-0.32675992665970199,920
2025,6,0.21016050049759505,920
2025,7,-0.56015701342467994,920
2025,8,-0.25928696376087074,920
2025,9,-0.092435101274709858,920
2025,10,0.11306108671498497,920
2025,11,0.031727023567092207,920
2025,12,-0.08740120002733677,138
