horizon,endpoint,comparison,n,development_n,positive_events,baseline_loss,trajectory_loss,absolute_gain,relative_gain,development_forward_gain,supported
15,log_future_sigma,T_vs_C,39770,59614,,0.3032072954981765,0.3028611871669004,0.0003461083312760626,0.00114149077682118,0.0003163699083439518,False
15,log_future_sigma,T_vs_O,39770,59614,,0.30320444758264187,0.3028611871669004,0.00034326041574144335,0.0011321087750465262,0.0005058616519817144,False
15,future_tail,T_vs_C,39770,59614,1296.0,0.0297981876407141,0.02978700537978614,1.1182260927956107e-05,0.000375266478041687,-2.2591427808514828e-05,False
15,future_tail,T_vs_O,39770,59614,1296.0,0.029785992275210702,0.02978700537978614,-1.013104575438391e-06,-3.401278581145487e-05,8.619083748600265e-06,False
30,log_future_sigma,T_vs_C,33950,50890,,0.170072828961638,0.16981844969002208,0.00025437927161591287,0.001495707886844707,0.0002342444194982117,False
30,log_future_sigma,T_vs_O,33950,50890,,0.1700762922292189,0.16981844969002208,0.0002578425391968144,0.0015160404534766624,0.00025123966618675056,False
30,future_tail,T_vs_C,33950,50890,1886.0,0.04900619617477961,0.04898698860003983,1.920757473977132e-05,0.00039194175918628516,-4.535069564759522e-05,False
30,future_tail,T_vs_O,33950,50890,1886.0,0.048968949545681276,0.04898698860003983,-1.8039054358560474e-05,-0.00036837740090243357,1.4562951906043171e-07,False
60,log_future_sigma,T_vs_C,22310,33442,,0.1191115173068282,0.11908273793351835,2.8779373309866892e-05,0.00024161704896875729,9.20357290298165e-05,False
60,log_future_sigma,T_vs_O,22310,33442,,0.11903437496492432,0.11908273793351835,-4.836296859402044e-05,-0.00040629413653216965,0.00016491610854895564,False
60,future_tail,T_vs_C,22310,33442,2215.0,0.08407865455711,0.08404062822474256,3.802633236742557e-05,0.0004522709428181487,-7.89912769098451e-05,False
60,future_tail,T_vs_O,22310,33442,2215.0,0.08405731101640056,0.08404062822474256,1.668279165797716e-05,0.00019846925218345557,2.9138811348348652e-05,False
