horizon,endpoint,increment_decile,n,increment_mean,sigma_mean,tail_rate
60,log_future_sigma,0,2231,-0.012653414379696911,0.0017249664913625172,0.12057373375168086
60,log_future_sigma,1,2231,-0.0069009108077647706,0.0016386065136561397,0.09457642312864187
60,log_future_sigma,2,2231,-0.005124053970915379,0.0016513264448387432,0.08381891528462573
60,log_future_sigma,3,2231,-0.003625605062958874,0.0015854964164004207,0.08606006275212909
60,log_future_sigma,4,2231,-0.0021369177998858636,0.001653897827367265,0.09278350515463918
60,log_future_sigma,5,2231,-0.0005085014914652883,0.001662707188331078,0.09771402958314657
60,log_future_sigma,6,2231,0.0013135538910528585,0.0016671864242209411,0.09367996414164052
60,log_future_sigma,7,2231,0.0036343132933617985,0.001695209776768114,0.10354101299865531
60,log_future_sigma,8,2231,0.00692884412870996,0.0017205948623314371,0.10398924249215598
60,log_future_sigma,9,2231,0.015639685968744054,0.0017380798609020404,0.11609143881667414
60,future_tail,0,2231,-0.008213087285767874,0.0016974769111661194,0.12550425818018826
60,future_tail,1,2231,-0.004543057216557543,0.0015552457313578244,0.11385029134917078
60,future_tail,2,2231,-0.0030264061543558594,0.0015125819616794664,0.10264455401165397
60,future_tail,3,2231,-0.0017780225291453315,0.0014454939634860543,0.10354101299865531
60,future_tail,4,5073,-0.00019614347900218345,0.002086922256397894,0.05736250739207569
60,future_tail,5,1620,0.0005557721331727446,0.001525647650392801,0.10061728395061728
60,future_tail,6,2231,0.0021116923938693556,0.0015136645700315054,0.10219632451815329
60,future_tail,7,2231,0.004475918219715046,0.001551121528064054,0.10981622590766472
60,future_tail,8,2231,0.009716201935195479,0.0016092796996304032,0.13177947108919766
