horizon,endpoint,comparison,slice_type,slice,n,absolute_gain
60,log_future_sigma,T_vs_C,symbol,000688.SH,11155,6.245836540795597e-05
60,log_future_sigma,T_vs_C,symbol,000852.SH,11155,-4.89961878822219e-06
60,log_future_sigma,T_vs_C,year,2024,11132,0.00013895477417709653
60,log_future_sigma,T_vs_C,year,2025,11178,-8.094263084597503e-05
60,log_future_sigma,T_vs_C,previous_state,NORMAL,19185,1.8564049493947546e-05
60,log_future_sigma,T_vs_C,previous_state,RECOVERING,2037,7.871175906499884e-05
60,log_future_sigma,T_vs_C,previous_state,UNSAFE,1088,0.00011542341524480139
60,log_future_sigma,T_vs_C,slot,580,970,0.00011815574869502276
60,log_future_sigma,T_vs_C,slot,585,970,-2.1813274033147586e-05
60,log_future_sigma,T_vs_C,slot,590,970,1.973539145536386e-05
60,log_future_sigma,T_vs_C,slot,595,970,9.952738586141146e-05
60,log_future_sigma,T_vs_C,slot,600,970,-4.547288415518935e-05
60,log_future_sigma,T_vs_C,slot,605,970,3.6477974911407696e-05
60,log_future_sigma,T_vs_C,slot,610,970,0.00022385729054315675
60,log_future_sigma,T_vs_C,slot,615,970,9.55722194695659e-05
60,log_future_sigma,T_vs_C,slot,620,970,0.00014921303626545953
60,log_future_sigma,T_vs_C,slot,625,970,-7.718016942278757e-05
60,log_future_sigma,T_vs_C,slot,630,970,0.00012585084908064254
60,log_future_sigma,T_vs_C,slot,785,970,2.5916685231287826e-05
60,log_future_sigma,T_vs_C,slot,790,970,-9.259128523567031e-05
60,log_future_sigma,T_vs_C,slot,795,970,5.610664456768797e-05
60,log_future_sigma,T_vs_C,slot,800,970,5.2509797645391016e-05
60,log_future_sigma,T_vs_C,slot,805,970,5.005155987461589e-05
60,log_future_sigma,T_vs_C,slot,810,970,0.00014315005849531182
60,log_future_sigma,T_vs_C,slot,815,970,-0.00025514313082041173
60,log_future_sigma,T_vs_C,slot,820,970,0.00020398254699076566
60,log_future_sigma,T_vs_C,slot,825,970,6.165878689417715e-05
60,log_future_sigma,T_vs_C,slot,830,970,-0.00042545567922186797
60,log_future_sigma,T_vs_C,slot,835,970,0.00021568323515879805
60,log_future_sigma,T_vs_C,slot,840,970,-9.786720212405313e-05
60,log_future_sigma,T_vs_O,symbol,000688.SH,11155,5.800103409593639e-05
60,log_future_sigma,T_vs_O,symbol,000852.SH,11155,-0.00015472697128397726
60,log_future_sigma,T_vs_O,year,2024,11132,2.3809369936280673e-05
60,log_future_sigma,T_vs_O,year,2025,11178,-0.00012023830161596644
60,log_future_sigma,T_vs_O,previous_state,NORMAL,19185,-2.4420028390271833e-05
60,log_future_sigma,T_vs_O,previous_state,RECOVERING,2037,-0.00010283851634898483
60,log_future_sigma,T_vs_O,previous_state,UNSAFE,1088,-0.00036856390336612916
60,log_future_sigma,T_vs_O,slot,580,970,0.0002892067998236311
60,log_future_sigma,T_vs_O,slot,585,970,0.0004230971249359856
60,log_future_sigma,T_vs_O,slot,590,970,-0.00027390655121671114
60,log_future_sigma,T_vs_O,slot,595,970,-5.635805988450485e-05
60,log_future_sigma,T_vs_O,slot,600,970,7.74876980122935e-05
60,log_future_sigma,T_vs_O,slot,605,970,-9.671351413655362e-05
60,log_future_sigma,T_vs_O,slot,610,970,0.0003725717109796904
60,log_future_sigma,T_vs_O,slot,615,970,0.00014199304668035157
60,log_future_sigma,T_vs_O,slot,620,970,0.00026366705866005493
60,log_future_sigma,T_vs_O,slot,625,970,-0.00035980640609320816
60,log_future_sigma,T_vs_O,slot,630,970,0.00019774709830547456
60,log_future_sigma,T_vs_O,slot,785,970,-8.669557093470819e-06
60,log_future_sigma,T_vs_O,slot,790,970,3.681115467437651e-05
60,log_future_sigma,T_vs_O,slot,795,970,5.074170277453147e-05
60,log_future_sigma,T_vs_O,slot,800,970,-0.0003150244491812271
60,log_future_sigma,T_vs_O,slot,805,970,-0.00019474795150701687
60,log_future_sigma,T_vs_O,slot,810,970,0.00018658883109950504
60,log_future_sigma,T_vs_O,slot,815,970,-0.00043557496309077904
60,log_future_sigma,T_vs_O,slot,820,970,0.00016890746327976689
60,log_future_sigma,T_vs_O,slot,825,970,-2.3582134723132592e-05
60,log_future_sigma,T_vs_O,slot,830,970,-0.0006586744648655158
60,log_future_sigma,T_vs_O,slot,835,970,-0.0004169665300576001
60,log_future_sigma,T_vs_O,slot,840,970,-0.0004811433850384119
60,future_tail,T_vs_C,symbol,000688.SH,11155,4.4893542339806614e-05
60,future_tail,T_vs_C,symbol,000852.SH,11155,3.115912239504452e-05
60,future_tail,T_vs_C,year,2024,11132,7.225449129733428e-05
60,future_tail,T_vs_C,year,2025,11178,3.939030058627593e-06
60,future_tail,T_vs_C,previous_state,NORMAL,19185,2.5203940174981808e-05
60,future_tail,T_vs_C,previous_state,RECOVERING,2037,0.00013735694063511935
60,future_tail,T_vs_C,previous_state,UNSAFE,1088,7.815606138465123e-05
60,future_tail,T_vs_C,slot,580,970,9.069371249325386e-05
60,future_tail,T_vs_C,slot,585,970,0.00026376606723116895
60,future_tail,T_vs_C,slot,590,970,0.00012196300596471991
60,future_tail,T_vs_C,slot,595,970,0.00013052943164723773
60,future_tail,T_vs_C,slot,600,970,8.900785702002771e-05
60,future_tail,T_vs_C,slot,605,970,-0.00018231988123912647
60,future_tail,T_vs_C,slot,610,970,0.00030097739094807834
60,future_tail,T_vs_C,slot,615,970,0.0001877306623621884
60,future_tail,T_vs_C,slot,620,970,2.627999493625903e-05
60,future_tail,T_vs_C,slot,625,970,-0.0001383446065327352
60,future_tail,T_vs_C,slot,630,970,-0.00017380400115270196
60,future_tail,T_vs_C,slot,785,970,9.352918501993404e-05
60,future_tail,T_vs_C,slot,790,970,-7.330304797195488e-06
60,future_tail,T_vs_C,slot,795,970,0.00021082533523130294
60,future_tail,T_vs_C,slot,800,970,4.591187722334861e-05
60,future_tail,T_vs_C,slot,805,970,1.88576343881256e-05
60,future_tail,T_vs_C,slot,810,970,3.167198678466191e-05
60,future_tail,T_vs_C,slot,815,970,-8.561451427805007e-05
60,future_tail,T_vs_C,slot,820,970,-8.470254279466242e-05
60,future_tail,T_vs_C,slot,825,970,8.236536882496374e-05
60,future_tail,T_vs_C,slot,830,970,-0.00016076530238527524
60,future_tail,T_vs_C,slot,835,970,-6.697223639552865e-05
60,future_tail,T_vs_C,slot,840,970,8.034952395079307e-05
