symbol,from_state,to_state,count,probability
000688.SH,NORMAL,NORMAL,53283,0.9853901207626726
000688.SH,NORMAL,UNSAFE,790,0.014609879237327317
000688.SH,RECOVERING,NORMAL,537,0.10130164119977363
000688.SH,RECOVERING,RECOVERING,4337,0.8181475193359743
000688.SH,RECOVERING,UNSAFE,427,0.08055083946425202
000688.SH,UNSAFE,NORMAL,222,0.08043478260869565
000688.SH,UNSAFE,RECOVERING,982,0.35579710144927534
000688.SH,UNSAFE,UNSAFE,1556,0.563768115942029
000852.SH,NORMAL,NORMAL,53836,0.9859712098457932
000852.SH,NORMAL,UNSAFE,766,0.014028790154206806
000852.SH,RECOVERING,NORMAL,527,0.1007262996941896
000852.SH,RECOVERING,RECOVERING,4338,0.8291284403669725
000852.SH,RECOVERING,UNSAFE,367,0.07014525993883793
000852.SH,UNSAFE,NORMAL,203,0.08826086956521739
000852.SH,UNSAFE,RECOVERING,926,0.4026086956521739
000852.SH,UNSAFE,UNSAFE,1171,0.5091304347826087
