year,highvol_share,extreme_share,highvol_persistence,shock_rate,recovery_failure_probability,eligible_bars,shock_count,symbol
pooled,0.03931643204587185,0.0002093869793512225,0.6803615447822514,0.015253036111200593,0.4429460580912863,62086,947,000688.SH
2020,0.03611870363139399,0.0001952362358453729,0.7065217391304348,0.014642717688402968,0.34375,5122,75,000688.SH
2021,0.04439190964013659,0.00017511601435951318,0.6824457593688363,0.016023115313895456,0.49246231155778897,11421,183,000688.SH
2022,0.05064181466502549,0.00017583963425356076,0.7152777777777778,0.017583963425356074,0.42857142857142855,11374,200,000688.SH
2023,0.03261825215403552,8.791981712678038e-05,0.6361185983827493,0.01397925092315808,0.4506172839506173,11374,159,000688.SH
2024,0.036926323193247755,0.0002637594513803411,0.6682692307692307,0.015385967997186566,0.4632768361581921,11374,175,000688.SH
2025,0.033447158742667016,0.00035023202871902636,0.6684210526315789,0.013571491112862271,0.40789473684210525,11421,155,000688.SH
pooled,0.031021486325419578,0.0001932802886318977,0.6524453694068678,0.014850368843217472,0.4105145413870246,62086,922,000852.SH
2020,0.02225693088637251,0.0,0.5526315789473685,0.01542366263178446,0.375,5122,79,000852.SH
2021,0.04194028543910341,0.00017511601435951318,0.6471816283924844,0.016636021364153753,0.5027027027027027,11421,190,000852.SH
2022,0.03481624758220503,0.0002637594513803411,0.6540404040404041,0.014243010374538422,0.4228571428571429,11374,162,000852.SH
2023,0.020045718304905927,8.791981712678038e-05,0.5594713656387665,0.013363812203270617,0.38,11374,152,000852.SH
2024,0.031914893617021274,0.0003516792685071215,0.7285318559556787,0.015122208545806225,0.3935483870967742,11374,172,000852.SH
2025,0.03029507048419578,0.00017511601435951318,0.672463768115942,0.01462218719901935,0.3503184713375796,11421,167,000852.SH
