symbol,vol_ratio_bin,shock_intensity_bin,n,mean_future_abs_log_return_3,median_future_abs_log_return_3
000688.SH,<1.0,<1sigma,27908,0.002095805811618524,0.0014931698280582495
000688.SH,<1.0,1-2sigma,6515,0.0025279832774417563,0.0018161475815317019
000688.SH,<1.0,2-3sigma,706,0.003177823490881739,0.002408133975091431
000688.SH,<1.0,>=3sigma,38,0.004052313970048513,0.003126606310939195
000688.SH,1.0-1.5,<1sigma,12164,0.002542721777631396,0.0018585653197811247
000688.SH,1.0-1.5,1-2sigma,5991,0.002699480059785661,0.001956674279059989
000688.SH,1.0-1.5,2-3sigma,1815,0.003063191908242951,0.0023378995538934078
000688.SH,1.0-1.5,>=3sigma,563,0.0036869048719034084,0.0027391994343517467
000688.SH,1.5-2.25,<1sigma,1074,0.0028289766147047437,0.002025242811933836
000688.SH,1.5-2.25,1-2sigma,665,0.002876544603437481,0.0021696047011205977
000688.SH,1.5-2.25,2-3sigma,348,0.0030147648729537202,0.002368069717116228
000688.SH,1.5-2.25,>=3sigma,323,0.003999403160739225,0.003143054198364581
000688.SH,>=2.25,>=3sigma,13,0.008308724465567895,0.004818901299786127
000852.SH,<1.0,<1sigma,27805,0.0017602795823345053,0.0012862724924769253
000852.SH,<1.0,1-2sigma,6933,0.0019656769964391738,0.0014269134634208314
000852.SH,<1.0,2-3sigma,767,0.002183966893400635,0.0016796876740805544
000852.SH,<1.0,>=3sigma,33,0.0021511342615258035,0.0012976154535682127
000852.SH,1.0-1.5,<1sigma,11988,0.001971126953001052,0.0014607141018156966
000852.SH,1.0-1.5,1-2sigma,6233,0.002058147563354552,0.0015065309092037182
000852.SH,1.0-1.5,2-3sigma,1891,0.002282246096019525,0.0016529813142724947
000852.SH,1.0-1.5,>=3sigma,563,0.0028565647644898215,0.001898549650485748
000852.SH,1.5-2.25,<1sigma,752,0.002811812775351321,0.001843703903691818
000852.SH,1.5-2.25,1-2sigma,536,0.0026592939001742074,0.001939691767735674
000852.SH,1.5-2.25,2-3sigma,298,0.002380606112190974,0.001727169663435113
000852.SH,1.5-2.25,>=3sigma,312,0.003052854016893412,0.002118931262311108
000852.SH,>=2.25,>=3sigma,12,0.006349713785589017,0.004930248030253104
