symbol,horizon_bars,horizon_minutes,episodes_observable_or_recovered,not_normal_count,not_normal_fraction
000688.SH,1,5,782,610,0.7800511508951407
000688.SH,2,10,782,600,0.7672634271099744
000688.SH,3,15,780,588,0.7538461538461538
000688.SH,4,20,779,582,0.7471116816431322
000688.SH,5,25,777,574,0.7387387387387387
000688.SH,6,30,776,568,0.7319587628865979
000688.SH,7,35,776,566,0.729381443298969
000688.SH,8,40,774,561,0.7248062015503876
000688.SH,9,45,772,553,0.716321243523316
000688.SH,10,50,771,548,0.7107652399481194
000688.SH,11,55,768,533,0.6940104166666666
000688.SH,12,60,765,271,0.3542483660130719
000852.SH,1,5,766,596,0.7780678851174935
000852.SH,2,10,766,577,0.7532637075718016
000852.SH,3,15,765,567,0.7411764705882353
000852.SH,4,20,763,555,0.727391874180865
000852.SH,5,25,763,547,0.7169069462647444
000852.SH,6,30,756,530,0.701058201058201
000852.SH,7,35,754,521,0.6909814323607427
000852.SH,8,40,750,509,0.6786666666666666
000852.SH,9,45,749,501,0.6688918558077437
000852.SH,10,50,745,486,0.6523489932885906
000852.SH,11,55,741,472,0.6369770580296896
000852.SH,12,60,736,220,0.29891304347826086
