year,block,gain,n
2024,0,0.25304101607545532,1640
2024,1,-0.25339987440506229,1640
2024,2,-0.018465727378342765,1640
2024,3,0.19913132865018754,1640
2024,4,0.042899091817373065,1640
2024,5,0.067060991103212689,1640
2024,6,0.078344745151694734,1640
2024,7,-0.048726823298261314,1640
2024,8,-0.011855235334249864,1640
2024,9,-0.032819722500679833,1640
2024,10,-0.074712797870047115,1640
2024,11,-0.019264369475596736,1640
2024,12,-0.019481442267322856,164
2025,0,-0.0086339333232263293,1640
2025,1,-0.035960427979055874,1640
2025,2,-0.040125023255694732,1640
2025,3,0.12557443572473853,1640
2025,4,0.10211336430840334,1640
2025,5,-0.038667870363597874,1640
2025,6,0.077719383916541332,1640
2025,7,0.080313233915900825,1640
2025,8,-0.010020008222759114,1640
2025,9,0.012031429139839327,1640
2025,10,0.0056704519187340992,1640
2025,11,0.013737377439327908,1640
2025,12,0.0016604751590826063,246
