year,block,gain,n
2024,0,0.30676519114278189,1640
2024,1,-0.26335691729843358,1640
2024,2,-0.01704867864809332,1640
2024,3,0.19466663669309778,1640
2024,4,0.035002341963010289,1640
2024,5,0.037371833073519017,1640
2024,6,0.059773745653080322,1640
2024,7,-0.10823391591655095,1640
2024,8,-0.019111782481283316,1640
2024,9,-0.011859735841895617,1640
2024,10,-0.10053824143742608,1640
2024,11,-0.051694314025804683,1640
2024,12,-0.024782563219525395,164
2025,0,-0.021435206554449936,1640
2025,1,-0.040767140728946931,1640
2025,2,-0.062290287794920317,1640
2025,3,0.099570575644322659,1640
2025,4,0.099234830808175148,1640
2025,5,-0.036502738283384802,1640
2025,6,0.16804105945711426,1640
2025,7,0.076419357141685587,1640
2025,8,-0.014987039449507343,1640
2025,9,-0.033458739090751935,1640
2025,10,-0.031182079003486348,1640
2025,11,-0.0030953093122018062,1640
2025,12,0.006148311371820538,246
