horizon,endpoint,comparison,n,development_n,positive_events,baseline_loss,shock_memory_loss,absolute_gain,relative_gain,development_forward_gain,supported
15,log_future_sigma,S_vs_C,39770,59614,,0.3032072954981764,0.30269202671631534,0.0005152687818610625,0.0016993944061090757,8.557818402095867e-05,False
15,log_future_sigma,S_vs_H,39770,59614,,0.3032059800086199,0.30269202671631534,0.000513953292304546,0.0016950631787998858,0.00031882126447028324,False
15,future_tail,S_vs_C,39770,59614,1296.0,0.0297981876407141,0.029786943887416473,1.124375329762622e-05,0.00037733010588414324,-1.9910303949818887e-05,False
15,future_tail,S_vs_H,39770,59614,1296.0,0.029793045199809277,0.029786943887416473,6.10131239280727e-06,0.0002047898209762837,-1.1978768040463935e-05,False
30,log_future_sigma,S_vs_C,33950,50890,,0.170072828961638,0.16976147715295856,0.00031135180867941073,0.00183069694659833,-3.324317316373003e-05,False
30,log_future_sigma,S_vs_H,33950,50890,,0.17009885486556348,0.16976147715295856,0.00033737771260492687,0.001983421422040561,6.0279563634173415e-05,False
30,future_tail,S_vs_C,33950,50890,1886.0,0.04900619617477961,0.04898695904228281,1.9237132496794636e-05,0.0003925449024483719,-8.954111018832505e-05,False
30,future_tail,S_vs_H,33950,50890,1886.0,0.049004944448783304,0.04898695904228281,1.798540650049133e-05,0.0003670120781238407,-6.947438634287912e-05,False
60,log_future_sigma,S_vs_C,22310,33442,,0.1191115173068282,0.11882450784380846,0.0002870094630197315,0.0024095861551356327,-0.0002466100502167715,False
60,log_future_sigma,S_vs_H,22310,33442,,0.1192384737839731,0.11882450784380846,0.00041396594016463714,0.0034717480610715304,-0.00039822655613676566,False
60,future_tail,S_vs_C,22310,33442,2215.0,0.08407865455711,0.08405065501748854,2.799953962145846e-05,0.00033301602849079745,-0.00017475422228063097,False
60,future_tail,S_vs_H,22310,33442,2215.0,0.08408781465154005,0.08405065501748854,3.715963405153467e-05,0.0004419146127833648,-0.0001246561586752663,False
