horizon,endpoint,increment_decile,n,increment_mean,sigma_mean,tail_rate
60,log_future_sigma,0,2231,-0.03476194818698676,0.001702973492816981,0.1214701927386822
60,log_future_sigma,1,2231,-0.0031314350571829885,0.0013132873532782708,0.05871806364858808
60,log_future_sigma,2,2231,-0.0015534010986522685,0.0014483562988670596,0.06051098162259077
60,log_future_sigma,3,2231,-0.00034470590685429164,0.0015313147163087222,0.07575078440161363
60,log_future_sigma,4,2231,0.0009871677523052179,0.0016627893756258813,0.09771402958314657
60,log_future_sigma,5,2231,0.002405586639534323,0.0017274212100945427,0.10981622590766472
60,log_future_sigma,6,2231,0.003949641815759256,0.0017424437263056176,0.10802330793366204
60,log_future_sigma,7,2231,0.005852776764482563,0.0017353447368297125,0.1214701927386822
60,log_future_sigma,8,2231,0.008700517741975692,0.001876089094834287,0.11295383236216944
60,log_future_sigma,9,2231,0.023007441264104384,0.001998051801217621,0.1264007171671896
60,future_tail,0,2231,-0.018707444965855972,0.0016124280598086849,0.12371134020618557
60,future_tail,1,2231,-0.0022686116558573166,0.001155565588876358,0.07754370237561632
60,future_tail,2,2231,-0.0007822057478237259,0.0012448757481286388,0.07440609592111161
60,future_tail,3,3662,-1.1350691972345575e-05,0.0022750713686962866,0.0354997269251775
60,future_tail,4,800,0.00021745957087928138,0.0014342825697647144,0.1075
60,future_tail,5,2231,0.0009828563384524775,0.0014964786163323008,0.11026445540116539
60,future_tail,6,2231,0.002114280072131976,0.0016330729612531482,0.1362617660242044
60,future_tail,7,2231,0.0033866016929475187,0.0016750373879107839,0.12550425818018826
60,future_tail,8,2231,0.00524477472829666,0.0017205664481246589,0.10802330793366204
60,future_tail,9,2231,0.012879188226384583,0.0019513973283404585,0.14029583146571045
