horizon,endpoint,comparison,slice_type,slice,n,absolute_gain
15,log_future_sigma,S_vs_C,symbol,000688.SH,19885,0.0007964318028046972
15,log_future_sigma,S_vs_C,symbol,000852.SH,19885,0.00023410576091742805
15,log_future_sigma,S_vs_C,year,2024,19844,0.00045086388239644977
15,log_future_sigma,S_vs_C,year,2025,19926,0.0005794086405871378
15,log_future_sigma,S_vs_C,previous_state,NORMAL,34505,0.00030729509637295564
15,log_future_sigma,S_vs_C,previous_state,RECOVERING,3559,0.0027360013722746777
15,log_future_sigma,S_vs_C,previous_state,UNSAFE,1706,8.885889234469366e-05
15,log_future_sigma,S_vs_C,slot,580,970,0.0004890012616794436
15,log_future_sigma,S_vs_C,slot,585,970,0.0013407464780930375
15,log_future_sigma,S_vs_C,slot,590,970,0.0005442411366543744
15,log_future_sigma,S_vs_C,slot,595,970,0.001758447023764747
15,log_future_sigma,S_vs_C,slot,600,970,0.0004096774756473914
15,log_future_sigma,S_vs_C,slot,605,970,0.0012584537413253736
15,log_future_sigma,S_vs_C,slot,610,970,0.0011256664638899423
15,log_future_sigma,S_vs_C,slot,615,970,0.001123679053693882
15,log_future_sigma,S_vs_C,slot,620,970,0.0009993686391409618
15,log_future_sigma,S_vs_C,slot,625,970,0.001455402693688087
15,log_future_sigma,S_vs_C,slot,630,970,0.0008192353899289704
15,log_future_sigma,S_vs_C,slot,635,970,-0.0005176590528529539
15,log_future_sigma,S_vs_C,slot,640,970,-0.0012050060837561663
15,log_future_sigma,S_vs_C,slot,645,970,0.0002951446207044623
15,log_future_sigma,S_vs_C,slot,650,970,0.0011974477422342189
15,log_future_sigma,S_vs_C,slot,655,970,0.0020802088647387997
15,log_future_sigma,S_vs_C,slot,660,970,-0.00023308105203529645
15,log_future_sigma,S_vs_C,slot,665,970,0.0002319992176655541
15,log_future_sigma,S_vs_C,slot,670,970,0.0007000973022579742
15,log_future_sigma,S_vs_C,slot,675,970,0.0017271559882237042
15,log_future_sigma,S_vs_C,slot,785,970,0.0006325727701454496
15,log_future_sigma,S_vs_C,slot,790,970,-0.0001656768671074312
15,log_future_sigma,S_vs_C,slot,795,970,-0.000300781600749932
15,log_future_sigma,S_vs_C,slot,800,970,-0.0006868760453215271
15,log_future_sigma,S_vs_C,slot,805,970,8.074567522316376e-05
15,log_future_sigma,S_vs_C,slot,810,970,-0.000723703632123817
15,log_future_sigma,S_vs_C,slot,815,970,0.0005822585176175128
15,log_future_sigma,S_vs_C,slot,820,970,0.0010432107991256167
15,log_future_sigma,S_vs_C,slot,825,970,0.0011162780487066805
15,log_future_sigma,S_vs_C,slot,830,970,0.00038001658182386464
15,log_future_sigma,S_vs_C,slot,835,970,0.0005985531563258364
15,log_future_sigma,S_vs_C,slot,840,970,-0.00032029660665721434
15,log_future_sigma,S_vs_C,slot,845,970,0.0002475740989129628
15,log_future_sigma,S_vs_C,slot,850,970,-0.0003519555957871405
15,log_future_sigma,S_vs_C,slot,855,970,0.00036438084929145485
