year,block,gain,n
2024,0,-0.058072215958823094,1356
2024,1,-0.09855867059098046,1360
2024,2,0.085584897321298189,1358
2024,3,-0.23320506607081856,1352
2024,4,-0.08039534223585694,1360
2024,5,-0.11956369843748343,1360
2024,6,0.07224449501072637,1360
2024,7,-0.08012827746816796,1360
2024,8,0.066662910090849486,1352
2024,9,0.12209305622491938,1360
2024,10,-0.22822580481087168,1328
2024,11,-0.071244558593155372,1228
2024,12,0.0067075973946929719,136
2025,0,-0.051535491983783058,1360
2025,1,0.056402239780488639,1360
2025,2,0.0013744226108548371,1360
2025,3,-0.030791781763474746,1360
2025,4,0.21201920188724271,1360
2025,5,0.12728190968373246,1360
2025,6,-0.038233774409556817,1360
2025,7,0.017602364517650002,1360
2025,8,0.087458470303399871,1360
2025,9,0.043488635601831895,1360
2025,10,-0.16641172168498461,1358
2025,11,-0.099816759742061584,1360
2025,12,0.02882282218704272,204
