year,block,gain,n
2024,0,-23.747317673176795,1356
2024,1,-21.505176832705558,1360
2024,2,-0.5664853842265779,1358
2024,3,-5.0674143815989821,1352
2024,4,-1.0934563703260254,1360
2024,5,-2.684959399266079,1360
2024,6,-6.9351917167570907,1360
2024,7,-9.8747613666571574,1360
2024,8,-7.0234752989947475,1352
2024,9,-27.485296290178976,1360
2024,10,-25.981946140096078,1328
2024,11,-6.6053979078063696,1228
2024,12,-0.48361912529192808,136
2025,0,-21.630964446882643,1360
2025,1,-6.9662285067346952,1360
2025,2,-4.0413522421733443,1360
2025,3,-6.1702305217241129,1360
2025,4,-5.5979531539753831,1360
2025,5,-10.317049667565998,1360
2025,6,-14.543852981002045,1360
2025,7,-8.3933087702402656,1360
2025,8,-16.787808387643828,1360
2025,9,-7.6906704647429835,1360
2025,10,-6.6953129373027069,1358
2025,11,-4.1176779309122873,1360
2025,12,-0.50839941961684765,204
