horizon,endpoint,comparison,n,development_n,positive_events,baseline_loss,temporal_loss,absolute_gain,relative_gain,development_forward_gain,supported
15,log_future_sigma,T_vs_C,38573,31890,,0.2876358380218119,0.28797761737501876,-0.0003417793532067861,-0.0011882363322920436,0.0004834324620222106,False
15,log_future_sigma,T_vs_O,38573,31890,,0.2785307671810676,0.28797761737501876,-0.009446850193951169,-0.0339167205460284,-0.004581113330137661,False
15,future_tail,T_vs_C,38573,31890,1255.0,0.029782906456040634,0.029793574047764258,-1.0667591723631454e-05,-0.0003581783308951645,3.3074528561430793e-06,False
15,future_tail,T_vs_O,38573,31890,1255.0,0.029439861864204372,0.029793574047764258,-0.00035371218355988783,-0.012014736522590918,-5.8114537122231064e-05,False
30,log_future_sigma,T_vs_C,32792,27112,,0.1653166847134929,0.16558303773045427,-0.00026635301696135066,-0.0016111683912786048,0.00041362264103205176,False
30,log_future_sigma,T_vs_O,32792,27112,,0.15788252213769993,0.16558303773045427,-0.007700515592754315,-0.04877370521125941,-0.0037864099270666185,False
30,future_tail,T_vs_C,32792,27112,1831.0,0.049339497600389234,0.04935256298649363,-1.3065386104394024e-05,-0.0002648058196743972,-2.0770208312359213e-05,False
30,future_tail,T_vs_O,32792,27112,1831.0,0.04866373667958221,0.04935256298649363,-0.0006888263069114188,-0.014154817404320473,-0.0004235766955955374,False
60,log_future_sigma,T_vs_C,21206,17549,,0.11654474902309406,0.11677489316610082,-0.0002301441430067794,-0.0019747276898865254,0.00036956185592519874,False
60,log_future_sigma,T_vs_O,21206,17549,,0.1100241368397672,0.11677489316610082,-0.006750756326333658,-0.06135704873708821,-0.0037851523991615393,False
60,future_tail,T_vs_C,21206,17549,2119.0,0.08461895238402213,0.0846265846362171,-7.632252194989707e-06,-9.019554106924679e-05,-0.00015575778966024149,False
60,future_tail,T_vs_O,21206,17549,2119.0,0.08296053275403142,0.0846265846362171,-0.0016660518821856947,-0.02008246363515227,-0.0014537261020503573,False
