horizon,endpoint,comparison,slice_type,slice,n,absolute_gain
30,log_future_sigma,T_vs_C,symbol,000688.SH,16392,-8.062193647431496e-05
30,log_future_sigma,T_vs_C,symbol,000852.SH,16400,-0.0004519934969213195
30,log_future_sigma,T_vs_C,year,2024,16270,-0.0004932999487609548
30,log_future_sigma,T_vs_C,year,2025,16522,-4.2867568445459243e-05
30,log_future_sigma,T_vs_C,previous_state,NORMAL,28083,-0.00042135125601885313
30,log_future_sigma,T_vs_C,previous_state,RECOVERING,3114,0.0002882131098479783
30,log_future_sigma,T_vs_C,previous_state,UNSAFE,1595,0.001379977157689176
30,log_future_sigma,T_vs_C,slot,580,966,-0.000503330642805967
30,log_future_sigma,T_vs_C,slot,585,966,0.0006731000682050383
30,log_future_sigma,T_vs_C,slot,590,966,0.0003058521124973822
30,log_future_sigma,T_vs_C,slot,595,962,-7.340958787356113e-05
30,log_future_sigma,T_vs_C,slot,600,968,-0.0004179554268410803
30,log_future_sigma,T_vs_C,slot,605,962,0.0008158775161924888
30,log_future_sigma,T_vs_C,slot,610,966,0.0006027989038493521
30,log_future_sigma,T_vs_C,slot,615,964,0.0018331296533724754
30,log_future_sigma,T_vs_C,slot,620,966,0.002069912671809241
30,log_future_sigma,T_vs_C,slot,625,965,-5.1084885831524745e-06
30,log_future_sigma,T_vs_C,slot,630,969,-0.00028466078229315647
30,log_future_sigma,T_vs_C,slot,635,965,0.000555956460704847
30,log_future_sigma,T_vs_C,slot,640,967,-0.00038404361182749555
30,log_future_sigma,T_vs_C,slot,645,959,-0.0011026063758833552
30,log_future_sigma,T_vs_C,slot,650,965,-0.0014978807496631343
30,log_future_sigma,T_vs_C,slot,655,969,-0.0008421580429287535
30,log_future_sigma,T_vs_C,slot,660,967,-0.0006373803723758569
30,log_future_sigma,T_vs_C,slot,790,960,-0.000247617759500491
30,log_future_sigma,T_vs_C,slot,795,964,0.0007517167542110995
30,log_future_sigma,T_vs_C,slot,800,966,-6.280115636334999e-05
30,log_future_sigma,T_vs_C,slot,805,964,-0.0009857786836956455
30,log_future_sigma,T_vs_C,slot,810,964,-0.0014052021074989654
30,log_future_sigma,T_vs_C,slot,815,958,-0.0005498121181309556
30,log_future_sigma,T_vs_C,slot,820,964,-0.0009306597310321369
30,log_future_sigma,T_vs_C,slot,825,964,0.0001568022886763415
30,log_future_sigma,T_vs_C,slot,830,962,-0.0008911855980639805
30,log_future_sigma,T_vs_C,slot,835,956,-0.001244937522959404
30,log_future_sigma,T_vs_C,slot,840,964,-0.000254432228432599
30,log_future_sigma,T_vs_C,slot,845,964,-0.001126241877417918
30,log_future_sigma,T_vs_C,slot,850,968,-0.001244782125770531
30,log_future_sigma,T_vs_C,slot,855,968,-0.001607141371772584
30,log_future_sigma,T_vs_C,slot,860,962,0.0004552468372543562
30,log_future_sigma,T_vs_C,slot,865,968,-0.0003560742916343835
30,log_future_sigma,T_vs_C,slot,870,964,-0.0006268303746954513
30,log_future_sigma,T_vs_O,symbol,000688.SH,16392,-0.00775046833292772
30,log_future_sigma,T_vs_O,symbol,000852.SH,16400,-0.007650587219771239
30,log_future_sigma,T_vs_O,year,2024,16270,-0.0085466808781243
30,log_future_sigma,T_vs_O,year,2025,16522,-0.006867256350957339
30,log_future_sigma,T_vs_O,previous_state,NORMAL,28083,-0.008105624261027684
30,log_future_sigma,T_vs_O,previous_state,RECOVERING,3114,-0.004272470166684454
30,log_future_sigma,T_vs_O,previous_state,UNSAFE,1595,-0.007260557427024241
30,log_future_sigma,T_vs_O,slot,580,966,-0.007485885706025532
30,log_future_sigma,T_vs_O,slot,585,966,-0.011088637061481058
30,log_future_sigma,T_vs_O,slot,590,966,-0.007836431759488654
30,log_future_sigma,T_vs_O,slot,595,962,-0.006130778598558418
30,log_future_sigma,T_vs_O,slot,600,968,-0.004748629285670231
30,log_future_sigma,T_vs_O,slot,605,962,-0.002330057884597989
30,log_future_sigma,T_vs_O,slot,610,966,-0.0012588551285071456
30,log_future_sigma,T_vs_O,slot,615,964,-0.0031141897783785698
30,log_future_sigma,T_vs_O,slot,620,966,-0.002903501785765212
30,log_future_sigma,T_vs_O,slot,625,965,-0.00165697424299014
30,log_future_sigma,T_vs_O,slot,630,969,-0.004675498725905286
30,log_future_sigma,T_vs_O,slot,635,965,-0.0038857392800900285
30,log_future_sigma,T_vs_O,slot,640,967,-0.00578072602987645
30,log_future_sigma,T_vs_O,slot,645,959,-0.006871532825565204
30,log_future_sigma,T_vs_O,slot,650,965,-0.005874130163186783
30,log_future_sigma,T_vs_O,slot,655,969,-0.006785991658046979
30,log_future_sigma,T_vs_O,slot,660,967,-0.01192215924319889
30,log_future_sigma,T_vs_O,slot,790,960,-0.005808253217555121
30,log_future_sigma,T_vs_O,slot,795,964,-0.007475849645047623
30,log_future_sigma,T_vs_O,slot,800,966,-0.009349212167096974
30,log_future_sigma,T_vs_O,slot,805,964,-0.008055722199399486
30,log_future_sigma,T_vs_O,slot,810,964,-0.009137279875218026
30,log_future_sigma,T_vs_O,slot,815,958,-0.006286266811141148
30,log_future_sigma,T_vs_O,slot,820,964,-0.007738965013798702
30,log_future_sigma,T_vs_O,slot,825,964,-0.004601791280066123
30,log_future_sigma,T_vs_O,slot,830,962,-0.005815737722901821
30,log_future_sigma,T_vs_O,slot,835,956,-0.009183374542687977
30,log_future_sigma,T_vs_O,slot,840,964,-0.008571206337364237
30,log_future_sigma,T_vs_O,slot,845,964,-0.008690860775451123
30,log_future_sigma,T_vs_O,slot,850,968,-0.010586665140022515
30,log_future_sigma,T_vs_O,slot,855,968,-0.015029082406866005
30,log_future_sigma,T_vs_O,slot,860,962,-0.013427973425572037
30,log_future_sigma,T_vs_O,slot,865,968,-0.02054690571016724
30,log_future_sigma,T_vs_O,slot,870,964,-0.0171025708360626
30,future_tail,T_vs_C,symbol,000688.SH,16392,-2.816419968470058e-05
30,future_tail,T_vs_C,symbol,000852.SH,16400,2.0260622009953125e-06
30,future_tail,T_vs_C,year,2024,16270,-3.7867281998996395e-05
30,future_tail,T_vs_C,year,2025,16522,1.1358221582640254e-05
