year,block,gain,n
2024,0,4.191976862885987,410
2024,1,2.0117501174374408,410
2024,2,6.5368974594941287,410
2024,3,0.82117330652501852,410
2024,4,11.645947565743958,410
2024,5,1.1348581552184518,410
2024,6,-6.9981440263137582,410
2024,7,-1.5279746106398082,410
2024,8,-3.7541125861124169,410
2024,9,-1.5143119768269091,410
2024,10,1.5764753084482055,410
2024,11,-3.1321818663290455,410
2024,12,1.2445620644170248,410
2024,13,1.114216949105026,410
2024,14,-3.5776679332118122,410
2024,15,0.0039807204241474065,410
2024,16,0.91740924240576216,410
2024,17,2.3344995441181853,410
2024,18,-4.8290381716328907,410
2024,19,1.6103811555721284,410
2024,20,6.2557903335920058,410
2024,21,-4.0866332661309777,410
2024,22,2.2836795738455384,410
2024,23,-2.4487405636871737,410
2024,24,3.5193405698891747,410
2024,25,0.08973773898947579,410
2024,26,-0.67221928312678791,410
2024,27,2.2500739245492372,410
2024,28,1.3339260199133629,410
2024,29,0.4474734380313129,410
2024,30,-0.38103662620195311,410
2024,31,4.7298033026168165,410
2024,32,-5.3398300374574186,410
2024,33,-2.8287516314280903,410
2024,34,-6.0797505597665893,410
2024,35,-10.529477851924714,410
2024,36,-0.58125082117874771,410
2024,37,-4.6073031715578407,410
2024,38,-2.8294935578962819,410
2024,39,-0.27315047375849066,410
2024,40,-7.6070153411506807,410
2024,41,5.1514295726829999,410
2024,42,1.3231676381186159,410
2024,43,-3.4128701899343934,410
2024,44,0.13148101023729941,410
2024,45,-3.7597997217691086,410
2024,46,0.51446668651000416,410
2024,47,3.1102296336276747,410
2024,48,2.2486855242357873,164
2025,0,6.0895381038671932,410
2025,1,-1.2055806464713752,410
2025,2,1.8900696026687727,410
2025,3,0.096398152547726323,410
2025,4,-4.8150450368646398,410
2025,5,-0.74118280032327111,410
2025,6,-7.285647947183314,410
2025,7,1.8339904661231619,410
2025,8,-1.3929030797368944,410
2025,9,1.9071996621453007,410
2025,10,6.6132403539514995,410
2025,11,1.0712629855501195,410
2025,12,2.3328492342430724,410
2025,13,0.88140526086003734,410
2025,14,-2.6247509491884293,410
2025,15,2.717061654865256,410
2025,16,-4.4165622388075327,410
2025,17,0.062738050465915518,410
2025,18,-0.82831770530340143,410
2025,19,0.18383682968891038,410
2025,20,1.4606968439712245,410
2025,21,-2.0549071467914528,410
2025,22,-2.6867882236091911,410
2025,23,1.5581190547648727,410
2025,24,-5.8619581496977533,410
2025,25,1.1141089913670441,410
2025,26,1.8824293406520103,410
2025,27,5.1786508745707147,410
2025,28,2.2967919629395337,410
2025,29,-1.42973960217248,410
2025,30,2.4217832002590605,410
2025,31,-0.43658944969634461,410
2025,32,10.783433464508903,410
2025,33,2.4118804630669013,410
2025,34,1.755023624546683,410
2025,35,0.36829374776197404,410
2025,36,2.3519313948757796,410
2025,37,4.6763315235858629,410
2025,38,-1.5376173364670778,410
2025,39,-1.4180462119015116,410
2025,40,2.109574843528002,410
2025,41,3.2466573340920055,410
2025,42,-0.19930943590943609,410
2025,43,2.349369554613733,410
2025,44,4.5192299207311573,410
2025,45,-1.7675013165955811,410
2025,46,1.3024060438834943,410
2025,47,-0.25445108753212692,410
2025,48,-0.98136217138074122,246
