horizon,endpoint,comparison,n,development_n,positive_events,baseline_loss,asymmetry_loss,absolute_gain,relative_gain,development_forward_gain,supported
15,log_future_sigma,A_vs_C,39770,59614,,0.3032072954981764,0.30214123043746205,0.0010660650607143135,0.003515961114862836,0.0018488763565262883,False
15,log_future_sigma,A_vs_M,39770,59614,,0.3027268653671996,0.30214123043746205,0.0005856349297375471,0.0019345324011041686,0.0020735666333546706,False
15,future_tail,A_vs_C,39770,59614,1296.0,0.0297981876407141,0.029738806111335395,5.938152937869416e-05,0.0019927899674529034,7.644700255523518e-05,False
15,future_tail,A_vs_M,39770,59614,1296.0,0.029773300440256972,0.029738806111335395,3.4494328921569335e-05,0.0011585658429365453,9.809644767387521e-05,False
30,log_future_sigma,A_vs_C,33950,50890,,0.170072828961638,0.16854536181849183,0.0015274671431461562,0.008981253222351555,0.003748183043111357,False
30,log_future_sigma,A_vs_M,33950,50890,,0.16974336741992413,0.16854536181849183,0.0011980056014323115,0.007057746170833253,0.0041049811326673786,False
30,future_tail,A_vs_C,33950,50890,1886.0,0.04900619617477961,0.0488551636201669,0.0001510325546127108,0.003081907317883972,0.0003303025476765828,False
30,future_tail,A_vs_M,33950,50890,1886.0,0.048969332674237094,0.0488551636201669,0.00011416905407019043,0.002331439859098899,0.0004450236688297282,False
60,log_future_sigma,A_vs_C,22310,33442,,0.1191115173068282,0.11749645382767414,0.0016150634791540668,0.01355925535726075,0.004343307244277543,False
60,log_future_sigma,A_vs_M,22310,33442,,0.1187171288695821,0.11749645382767414,0.0012206750419079722,0.01028221498895039,0.004704721393871019,False
60,future_tail,A_vs_C,22310,33442,2215.0,0.08407865455711,0.08362026100797809,0.0004583935491319103,0.005451961042270828,0.0011608934372923957,False
60,future_tail,A_vs_M,22310,33442,2215.0,0.08398389793107386,0.08362026100797809,0.0003636369230957764,0.004329840982067963,0.0013849904651443777,False
