horizon,endpoint,increment_decile,n,increment_mean,sigma_mean,tail_rate
60,log_future_sigma,0,2231,-0.09498410600507047,0.0017283324496062949,0.105333930972658
60,log_future_sigma,1,2231,-0.07064441810690233,0.0015871645593890965,0.07664724338861498
60,log_future_sigma,2,2231,-0.05221542426310655,0.0016197477269742338,0.07888839085611833
60,log_future_sigma,3,2231,-0.03490712890656377,0.0015780240303190926,0.07395786642761093
60,log_future_sigma,4,2231,-0.017409304894761654,0.001632079333537482,0.08695652173913043
60,log_future_sigma,5,2231,0.0011679170911339917,0.0016283555785672138,0.09771402958314657
60,log_future_sigma,6,2231,0.021108217792144956,0.0017211851004894853,0.09278350515463918
60,log_future_sigma,7,2231,0.04453689809373081,0.0016530508102978359,0.09950694755714926
60,log_future_sigma,8,2231,0.07590727782141704,0.0017365963599976,0.11788435679067683
60,log_future_sigma,9,2231,0.13919085874308992,0.0018535358570003608,0.16315553563424473
60,future_tail,0,2231,-0.04283233559667552,0.0015378011531498874,0.11653966831017482
60,future_tail,1,2231,-0.02580350212614238,0.0014658683660601314,0.09816225907664725
60,future_tail,2,2231,-0.01770543559869995,0.0014698153642348833,0.08068130883012102
60,future_tail,3,2231,-0.011227376380930316,0.001481402193073198,0.09547288211564321
60,future_tail,4,5024,-0.0017530328244641478,0.0020179877355860805,0.0553343949044586
60,future_tail,5,1669,0.003583477369865827,0.0016095185503885038,0.1042540443379269
60,future_tail,6,2231,0.013921211297267049,0.0016261105083154685,0.11205737337516809
60,future_tail,7,2231,0.03122472929139533,0.001611840364150909,0.11116091438816675
60,future_tail,8,2231,0.06946457688064717,0.001796844415606194,0.17615419094576423
