horizon,endpoint,comparison,slice_type,slice,n,absolute_gain
60,log_future_sigma,A_vs_C,symbol,000688.SH,11155,-0.0014313887449799766
60,log_future_sigma,A_vs_C,symbol,000852.SH,11155,0.00466151570328811
60,log_future_sigma,A_vs_C,year,2024,11132,0.0010069456026360127
60,log_future_sigma,A_vs_C,year,2025,11178,0.0022206788129704004
60,log_future_sigma,A_vs_C,previous_state,NORMAL,19185,0.0019447631015618498
60,log_future_sigma,A_vs_C,previous_state,RECOVERING,2037,0.0009745062169118072
60,log_future_sigma,A_vs_C,previous_state,UNSAFE,1088,-0.0029993410362005647
60,log_future_sigma,A_vs_C,slot,580,970,-0.0025095124305897277
60,log_future_sigma,A_vs_C,slot,585,970,-0.0012251465832187336
60,log_future_sigma,A_vs_C,slot,590,970,-0.0011667118597669572
60,log_future_sigma,A_vs_C,slot,595,970,0.0008888881003701071
60,log_future_sigma,A_vs_C,slot,600,970,0.0005193678488190768
60,log_future_sigma,A_vs_C,slot,605,970,-3.244763847940777e-05
60,log_future_sigma,A_vs_C,slot,610,970,0.00042423116553515065
60,log_future_sigma,A_vs_C,slot,615,970,0.001406481459843219
60,log_future_sigma,A_vs_C,slot,620,970,0.000793278762104544
60,log_future_sigma,A_vs_C,slot,625,970,-3.490650318070725e-05
60,log_future_sigma,A_vs_C,slot,630,970,-0.00045845366753579216
60,log_future_sigma,A_vs_C,slot,785,970,-0.0020087593206479016
60,log_future_sigma,A_vs_C,slot,790,970,-0.001801762237005821
60,log_future_sigma,A_vs_C,slot,795,970,-0.0033104405873207923
60,log_future_sigma,A_vs_C,slot,800,970,-0.0004935087362831106
60,log_future_sigma,A_vs_C,slot,805,970,0.002842929574833291
60,log_future_sigma,A_vs_C,slot,810,970,0.0031365807568411405
60,log_future_sigma,A_vs_C,slot,815,970,0.004078461040637152
60,log_future_sigma,A_vs_C,slot,820,970,0.00484404993528904
60,log_future_sigma,A_vs_C,slot,825,970,0.006440340272928279
60,log_future_sigma,A_vs_C,slot,830,970,0.00806668918174301
60,log_future_sigma,A_vs_C,slot,835,970,0.008488402477556686
60,log_future_sigma,A_vs_C,slot,840,970,0.008258409008071788
60,log_future_sigma,A_vs_M,symbol,000688.SH,11155,-0.0019827228783220884
60,log_future_sigma,A_vs_M,symbol,000852.SH,11155,0.004424072962138033
60,log_future_sigma,A_vs_M,year,2024,11132,0.0009739657254265706
60,log_future_sigma,A_vs_M,year,2025,11178,0.0014663690937124947
60,log_future_sigma,A_vs_M,previous_state,NORMAL,19185,0.001578603188489765
60,log_future_sigma,A_vs_M,previous_state,RECOVERING,2037,-0.00022302937649599372
60,log_future_sigma,A_vs_M,previous_state,UNSAFE,1088,-0.0023878043623960887
60,log_future_sigma,A_vs_M,slot,580,970,-0.00253344046830819
60,log_future_sigma,A_vs_M,slot,585,970,-0.0016853051773836449
60,log_future_sigma,A_vs_M,slot,590,970,-0.0017458002543410695
60,log_future_sigma,A_vs_M,slot,595,970,0.00030039909965704756
60,log_future_sigma,A_vs_M,slot,600,970,1.8084858727373055e-05
60,log_future_sigma,A_vs_M,slot,605,970,-0.0002505396077122257
60,log_future_sigma,A_vs_M,slot,610,970,9.012841088340139e-05
60,log_future_sigma,A_vs_M,slot,615,970,0.0015769809760018084
60,log_future_sigma,A_vs_M,slot,620,970,0.0010033801303455092
60,log_future_sigma,A_vs_M,slot,625,970,-5.1968555463034734e-05
60,log_future_sigma,A_vs_M,slot,630,970,-0.0001898806820186728
60,log_future_sigma,A_vs_M,slot,785,970,-0.002336098864857885
60,log_future_sigma,A_vs_M,slot,790,970,-0.0020567757009785307
60,log_future_sigma,A_vs_M,slot,795,970,-0.003611398109290226
60,log_future_sigma,A_vs_M,slot,800,970,-0.001222681204067741
60,log_future_sigma,A_vs_M,slot,805,970,0.002144408802104683
60,log_future_sigma,A_vs_M,slot,810,970,0.0024130520383733346
60,log_future_sigma,A_vs_M,slot,815,970,0.0032989050307947578
60,log_future_sigma,A_vs_M,slot,820,970,0.0041486801805364435
60,log_future_sigma,A_vs_M,slot,825,970,0.005712290060169394
60,log_future_sigma,A_vs_M,slot,830,970,0.007549833687938444
60,log_future_sigma,A_vs_M,slot,835,970,0.007852557166117671
60,log_future_sigma,A_vs_M,slot,840,970,0.007650714146654709
60,future_tail,A_vs_C,symbol,000688.SH,11155,0.0001815488029855555
60,future_tail,A_vs_C,symbol,000852.SH,11155,0.0007352382952782651
60,future_tail,A_vs_C,year,2024,11132,0.0002833578506456233
60,future_tail,A_vs_C,year,2025,11178,0.0006327089361017928
60,future_tail,A_vs_C,previous_state,NORMAL,19185,0.0005685321847529085
60,future_tail,A_vs_C,previous_state,RECOVERING,2037,0.0006808197047846848
60,future_tail,A_vs_C,previous_state,UNSAFE,1088,-0.001900146711395249
60,future_tail,A_vs_C,slot,580,970,0.002042169296719218
60,future_tail,A_vs_C,slot,585,970,0.0025797782052105834
60,future_tail,A_vs_C,slot,590,970,0.0006648344600320454
60,future_tail,A_vs_C,slot,595,970,0.0008514297855791927
60,future_tail,A_vs_C,slot,600,970,0.00037736910242229163
60,future_tail,A_vs_C,slot,605,970,9.87852401160751e-05
60,future_tail,A_vs_C,slot,610,970,0.0006277291225677634
60,future_tail,A_vs_C,slot,615,970,0.000902082391222532
60,future_tail,A_vs_C,slot,620,970,-2.646048367047489e-05
60,future_tail,A_vs_C,slot,625,970,0.00012986679313262947
60,future_tail,A_vs_C,slot,630,970,-0.00031952108155178775
60,future_tail,A_vs_C,slot,785,970,-0.00021756212538005148
60,future_tail,A_vs_C,slot,790,970,-0.00011787660169740952
60,future_tail,A_vs_C,slot,795,970,-0.0004983745156644753
60,future_tail,A_vs_C,slot,800,970,0.00011474541803995118
60,future_tail,A_vs_C,slot,805,970,0.0007584900368229543
60,future_tail,A_vs_C,slot,810,970,-2.1053695690627257e-05
60,future_tail,A_vs_C,slot,815,970,-0.0002573851799099167
60,future_tail,A_vs_C,slot,820,970,0.00010472170903087022
60,future_tail,A_vs_C,slot,825,970,0.0003024701587450648
60,future_tail,A_vs_C,slot,830,970,0.0008341928927217832
60,future_tail,A_vs_C,slot,835,970,0.0007665985948645681
60,future_tail,A_vs_C,slot,840,970,0.000846022106371156
60,future_tail,A_vs_M,symbol,000688.SH,11155,1.4186879671701815e-05
